duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,-4,0,0,0.00932962,-0.0012328,4.36419e-05,0,0,4,0,0,-0.0103635,0.000895863,-2.09933e-05,0,0,1,0,0,-0.000274033,1.42724e-05,-2.02154e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.99186,0.0232759,0.0210285,0.00483486,-0.00101459,4.36419e-05,0,0,3.99051,-0.027612,-0.0259253,-0.00698999,0.000790897,-2.09933e-05,0,0,0.99974,-0.000766021,-0.00073849,-0.000218963,1.32663e-05,-2.02677e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.94369,0.0759974,0.029882,0.00121293,-0.000796377,4.36419e-05,0,0,3.93075,-0.0973739,-0.0423598,-0.00403633,0.000685931,-2.09932e-05,0,0,0.99803,-0.00284784,-0.00131781,-0.000167923,1.22574e-05,-2.02294e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.83735,0.136433,0.0291789,-0.00153616,-0.000578167,4.36419e-05,0,0,3.78765,-0.191564,-0.0505631,-0.00150254,0.000580965,-2.09932e-05,0,0,0.993708,-0.00593921,-0.00175006,-0.000120914,1.12476e-05,-2.01441e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.67381,0.188088,0.0215379,-0.00341241,-0.000359958,4.36419e-05,0,0,3.54458,-0.294979,-0.0517949,0.000611388,0.000475999,-2.09933e-05,0,0,0.985909,-0.00975809,-0.00204733,-7.79382e-05,1.024e-05,-2.01589e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.46791,0.219705,0.0095773,-0.00441582,-0.000141748,4.36419e-05,0,0,3.19887,-0.394935,-0.0473147,0.00230545,0.000371033,-2.09934e-05,0,0,0.974036,-0.0140466,-0.00222172,-3.89938e-05,9.23185e-06,-2.01408e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.24315,0.225263,-0.00408423,-0.0045464,7.64615e-05,4.3642e-05,0,0,2.75928,-0.481269,-0.038382,0.00357965,0.000266066,-2.09933e-05,0,0,0.957737,-0.0185711,-0.00228532,-4.0813e-06,8.22384e-06,-2.01339e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.02639,0.203979,-0.0168282,-0.00380413,0.000294671,4.36419e-05,0,0,2.24345,-0.546335,-0.0262566,0.00440778,0.00023825,-7.19448e-05,0,0,0.936885,-0.0231221,-0.00225024,2.68015e-05,7.21541e-06,-2.01385e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.84271,0.160307,-0.0260362,-0.00218902,0.000512881,4.36419e-05,0,0,1.67543,-0.585031,-0.0123232,0.00464133,-0.000121477,-7.19451e-05,0,0,0.911546,-0.0275143,-0.00212855,5.36514e-05,6.20646e-06,-2.00985e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.71007,0.103938,-0.0290895,0.000212417,0.000558088,-4.28594e-05,0,0,1.08253,-0.5966,0.000152454,0.00352247,-0.000308201,1.4556e-05,0,0,0.881963,-0.0315867,-0.00193237,7.64662e-05,5.19968e-06,-2.00871e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.63449,0.0484139,-0.0255324,0.00201617,0.000343791,-4.28594e-05,0,0,0.489309,-0.586887,0.00901623,0.00243523,-0.000235421,1.4556e-05,0,0,0.848526,-0.0352022,-0.00167378,9.52555e-05,4.19085e-06,-2.01173e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.60929,0.00455863,-0.0178497,0.00296274,0.000105292,-1.86574e-05,0,0,-0.0863474,-0.562418,0.015055,0.0016391,-0.00016264,1.45555e-05,0,0,0.811749,-0.0382482,-0.00136488,0.000110008,3.18461e-06,-2.01578e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.61954,-0.0219246,-0.00851627,0.00319734,1.20046e-05,-1.86574e-05,0,0,-0.632219,-0.527969,0.019142,0.0011341,-8.98613e-05,1.45558e-05,0,0,0.772249,-0.0406363,-0.00101777,0.000120731,2.17511e-06,-2.00769e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.64679,-0.0294104,0.000961188,0.00307072,-5.74107e-05,-6.72155e-06,0,0,-1.13999,-0.486569,0.0221507,0.000908277,-4.09537e-05,2.6201e-06,0,0,0.730717,-0.0423019,-0.000644531,0.000127423,1.16845e-06,-2.01756e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.67223,-0.0185392,0.00976166,0.00277386,-9.10185e-05,-6.72151e-06,0,0,-1.60354,-0.439693,0.024656,0.000770663,-2.78517e-05,2.62008e-06,0,0,0.687899,-0.043205,-0.00025727,0.000130078,1.62623e-07,-2.02058e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.67833,0.00890805,0.0174699,0.00234257,-0.000124626,-1.3221e-07,0,0,-2.01783,-0.388168,0.0268271,0.00068545,-1.47483e-05,-3.97271e-06,0,0,0.644567,-0.0433297,0.000131919,0.000128709,-8.47632e-07,-2.01383e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.64973,0.0503764,0.0237485,0.00184274,-0.000125287,-1.32208e-07,0,0,-2.3785,-0.332536,0.0287552,0.000586771,-3.46128e-05,-3.97102e-06,0,0,0.601497,-0.0426841,0.000510947,0.000123305,-1.8556e-06,-2.01349e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.57389,0.1029,0.0285237,0.00134027,-0.000125948,-1.32227e-07,0,0,-2.68173,-0.273424,0.0302681,0.000408648,-5.44208e-05,-3.98116e-06,0,0,0.559445,-0.0413008,0.000867714,0.000113868,-2.86284e-06,-2.01593e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.44125,0.163464,0.0317875,0.000835154,-0.00012661,-1.3219e-07,0,0,-2.92454,-0.211899,0.0311277,0.000151189,-7.42923e-05,-3.96869e-06,0,0,0.519123,-0.0392362,0.00119013,0.000100401,-3.87091e-06,-2.01547e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.2453,0.229037,0.033532,0.000327393,-0.000127271,-2.41974e-08,0,0,-3.10524,-0.149507,0.0310959,-0.000185667,-9.41378e-05,-3.96901e-06,0,0,0.481173,-0.0365712,0.00146609,8.29021e-05,-4.87868e-06,-2.01609e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.98253,0.296574,0.0337503,-0.000181931,-0.000127392,-2.38329e-08,0,0,-3.22393,-0.0882688,0.0299343,-0.000601909,-0.000113983,-3.96926e-06,0,0,0.446146,-0.0334109,0.00168351,6.13713e-05,-5.88658e-06,-2.01595e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.65251,0.363019,0.0324399,-0.000691736,-0.000127512,-2.40112e-08,0,0,-3.28299,-0.0306817,0.027405,-0.00109753,-0.000133829,-3.96924e-06,0,0,0.414474,-0.0298843,0.00183029,3.5809e-05,-6.89466e-06,-2.01546e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.25787,0.425314,0.0295994,-0.00120202,-0.000127632,-2.40017e-08,0,0,-3.2875,0.0202806,0.0232697,-0.00167254,-0.000153675,-3.96932e-06,0,0,0.386448,-0.0261449,0.00189433,6.21477e-06,-7.90246e-06,-2.01596e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.804288,0.480396,0.0252273,-0.00171279,-0.000127753,-2.40369e-08,0,0,-3.24578,0.0611679,0.0172904,-0.00232694,-0.000173523,-3.96871e-06,0,0,0.362196,-0.0223702,0.00186354,-2.7411e-05,-8.91044e-06,-2.01573e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.300505,0.525201,0.0193222,-0.00222404,-0.000127873,-2.43305e-08,0,0,-3.16983,0.0880539,0.00922873,-0.00306072,-0.000193367,2.50405e-05,0,0,0.341653,-0.018762,0.00172583,-6.50685e-05,-9.91832e-06,1.43036e-05,0,0,0,0,0,0,0,0,0,0,
1,0.241666,0.556661,0.0118826,-0.00273578,-0.000127993,-2.40905e-08,0,0,-3.07577,0.0966809,-0.000863225,-0.00358378,-6.81606e-05,2.50408e-05,0,0,0.324556,-0.0154737,0.00161415,3.82946e-05,6.15999e-05,1.43036e-05,0,0,0,0,0,0,0,0,0,0,
1,0.807346,0.571707,0.00290702,-0.00324799,-0.000128114,1.71403e-05,0,0,-2.98358,0.0840557,-0.0117731,-0.00360602,5.70471e-05,2.504e-05,0,0,0.310811,-0.0118126,0.00224167,0.00042773,0.000133118,1.43036e-05,0,0,0,0,0,0,0,0,0,0,
1,1.3786,0.56735,-0.00743423,-0.00358905,-4.24132e-05,1.714e-05,0,0,-2.91482,0.0500448,-0.0219985,-0.00312742,0.000182249,2.50418e-05,0,0,0.301815,-0.00544204,0.00446661,0.00110324,0.00020464,1.43018e-05,0,0,0,0,0,0,0,0,0,0,
1,1.9349,0.541631,-0.0182844,-0.0035873,4.32873e-05,1.71401e-05,0,0,-2.8897,-0.0024802,-0.0300368,-0.00214801,0.000307455,2.50417e-05,0,0,0.302162,0.00769095,0.00914718,0.00199865,0.000143823,-5.18611e-05,0,0,0,0,0,0,0,0,0,0,
1,2.45472,0.494559,-0.0286152,-0.00324275,0.000128988,1.71401e-05,0,0,-2.92403,-0.0676429,-0.0343857,-0.00066777,0.000432662,2.50414e-05,0,0,0.32109,0.0322972,0.0154875,0.00205533,-0.000115483,-5.18611e-05,0,0,0,0,0,0,0,0,0,0,
1,2.91757,0.428202,-0.0373981,-0.0025554,0.000214688,1.71401e-05,0,0,-3.02627,-0.136562,-0.0335426,0.00131329,0.000557869,2.50413e-05,0,0,0.370763,0.0687169,0.020442,0.00107479,-0.000374788,-5.18611e-05,0,0,0,0,0,0,0,0,0,0,
1,3.30605,0.346684,-0.0436048,-0.00152524,0.000300389,1.71401e-05,0,0,-3.19448,-0.19735,-0.0260051,0.00379518,0.000683075,2.50412e-05,0,0,0.46057,0.111067,0.020899,-0.000942972,-0.000634094,-5.1861e-05,0,0,0,0,0,0,0,0,0,0,
1,3.60792,0.256186,-0.0462068,-0.000152287,0.000386089,1.71401e-05,0,0,-3.41333,-0.235118,-0.0102707,0.00677789,0.000808281,2.50412e-05,0,0,0.590907,0.14724,0.0137469,-0.00399796,-0.000893399,-5.18615e-05,0,0,0,0,0,0,0,0,0,0,
1,3.81815,0.164945,-0.0441757,0.00156347,0.00047179,1.71401e-05,0,0,-3.65111,-0.231967,0.015163,0.0102614,0.000933487,-0.000584905,0,0,0.746951,0.158907,-0.00412598,-0.00809016,-0.00115271,0.000515495,0,0,0,0,0,0,0,0,0,0,
1,3.94097,0.0832574,-0.0364832,0.00362203,0.00055749,1.71401e-05,0,0,-3.8573,-0.170047,0.0456992,0.00814633,-0.00199104,-0.000584903,0,0,0.893005,0.124351,-0.0301578,-0.00754604,0.00142477,0.000515495,0,0,0,0,0,0,0,0,0,0,
1,3.99194,0.0234728,-0.0221007,0.00602339,0.000643191,1.71401e-05,0,0,-3.97608,-0.0650986,0.0523429,-0.00566685,-0.00491556,-0.000584905,0,0,0.981592,0.0496743,-0.0390923,0.00330797,0.00400224,0.000515494,0,0,0,0,0,0,0,0,0,0,
