duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,-4,0,0,-0.00714555,0.0013298,-5.94294e-05,0,0,-2,0,0,0.0178674,-0.00240081,9.24443e-05,0,0,1,0,0,-2.98994e-05,-6.56805e-06,2.38886e-07,0,0,0,0,0,0,0,0,0,0,
1,-4.00588,-0.0164146,-0.0140522,-0.00242065,0.00103265,-5.94294e-05,0,0,-1.98444,0.0444612,0.0401218,0.0091886,-0.00193859,9.24443e-05,0,0,0.999964,-0.000114776,-0.000126718,-5.37828e-05,-5.37361e-06,2.38874e-07,0,0,0,0,0,0,0,0,0,0,
1,-4.03779,-0.0479474,-0.0157125,0.00111567,0.000735505,-5.94294e-05,0,0,-1.89252,0.144978,0.0569805,0.00235867,-0.00147637,9.24443e-05,0,0,0.999663,-0.00054986,-0.000317919,-7.28885e-05,-4.17925e-06,2.38883e-07,0,0,0,0,0,0,0,0,0,0,
1,-4.09966,-0.0733805,-0.00854676,0.00346339,0.000438358,-5.94294e-05,0,0,-1.68958,0.260572,0.0561227,-0.00262238,-0.00101415,9.24443e-05,0,0,0.998719,-0.00141989,-0.000559272,-8.72167e-05,-2.98484e-06,2.38884e-07,0,0,0,0,0,0,0,0,0,0,
1,-4.17774,-0.0786276,0.00387928,0.00462253,0.000141211,-5.94294e-05,0,0,-1.37643,0.361356,0.0430951,-0.00575453,-0.000551929,9.24443e-05,0,0,0.99665,-0.00281083,-0.000836442,-9.67672e-05,-1.79044e-06,2.38882e-07,0,0,0,0,0,0,0,0,0,0,
1,-4.24779,-0.0567337,0.0179998,0.00459308,-0.000155936,-5.94294e-05,0,0,-0.978194,0.428537,0.0234444,-0.00703781,-8.97078e-05,9.24443e-05,0,0,0.992904,-0.00477998,-0.0011351,-0.00010154,-5.96017e-07,2.3888e-07,0,0,0,0,0,0,0,0,0,0,
1,-4.28214,-0.00787568,0.0302492,0.00337504,-0.000453083,-5.94294e-05,0,0,-0.533248,0.454416,0.00271714,-0.0064722,0.000372513,9.24445e-05,0,0,0.986887,-0.00735598,-0.0014409,-0.000101535,5.98384e-07,2.38882e-07,0,0,0,0,0,0,0,0,0,0,
1,-4.25691,0.0606383,0.0370615,0.000968415,-0.00075023,7.66883e-05,0,0,-0.0821218,0.442386,-0.0135399,-0.0040577,0.000834735,-7.70442e-05,0,0,0.977989,-0.0105388,-0.00173953,-9.67531e-05,1.79278e-06,2.3888e-07,0,0,0,0,0,0,0,0,0,0,
1,-4.15891,0.135049,0.0362323,-0.00126562,-0.000366789,7.66883e-05,0,0,0.343424,0.406087,-0.0214751,-0.0014892,0.000449514,-7.70441e-05,0,0,0.965616,-0.0142998,-0.00201665,-8.71931e-05,2.98718e-06,2.38887e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.98919,0.202633,0.0310015,-0.0019659,1.66525e-05,2.67967e-06,0,0,0.726919,0.360082,-0.024016,-0.000461586,6.42934e-05,-3.03547e-06,0,0,0.949216,-0.0185815,-0.00225791,-7.28555e-05,4.1816e-06,2.38882e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.7575,0.258818,0.0252306,-0.00187249,3.00509e-05,2.67965e-06,0,0,1.06258,0.310907,-0.0250454,-0.000234767,4.9116e-05,-3.0355e-06,0,0,0.928308,-0.023298,-0.002449,-5.37403e-05,5.37598e-06,2.38887e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.47529,0.303796,0.0198202,-0.00172549,4.34492e-05,2.67964e-06,0,0,1.34826,0.260293,-0.0254853,-6.86588e-05,3.39386e-05,-3.03553e-06,0,0,0.902513,-0.0283345,-0.00257558,-2.98476e-05,6.57045e-06,2.38868e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.15335,0.338447,0.0149312,-0.0015249,5.68474e-05,2.67968e-06,0,0,1.58303,0.209237,-0.025518,3.674e-05,1.87609e-05,-3.03551e-06,0,0,0.87158,-0.0335477,-0.00262331,-1.17711e-06,7.76482e-06,2.38878e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.80144,0.363975,0.0107244,-0.00127071,7.02457e-05,2.67969e-06,0,0,1.7668,0.158371,-0.0253256,8.14285e-05,3.58339e-06,7.10281e-05,0,0,0.835416,-0.0387656,-0.00257786,3.22709e-05,8.95922e-06,2.38879e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.42794,0.381906,0.00736055,-0.00096293,8.36442e-05,2.67964e-06,0,0,1.9,0.108334,-0.0243495,0.000806043,0.000358724,-2.41477e-05,0,0,0.794114,-0.0437875,-0.00242491,7.04966e-05,1.01536e-05,2.38881e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.03955,0.394087,0.00500042,-0.000601557,9.70425e-05,2.67968e-06,0,0,1.98512,0.0633668,-0.0200205,0.00199946,0.000237985,-2.41477e-05,0,0,0.747982,-0.048384,-0.00215011,0.0001135,1.1348e-05,2.38879e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.64096,0.402684,0.0038048,-0.000186591,0.000110441,2.67966e-06,0,0,2.03068,0.0301553,-0.0128357,0.00270993,0.000117247,-2.41477e-05,0,0,0.697573,-0.0522971,-0.00173913,0.000161281,1.25424e-05,2.38881e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.23455,0.410189,0.00393447,0.000274505,0.000138767,-4.78433e-06,0,0,2.05081,0.0129619,-0.00424394,0.00293744,-3.49163e-06,-2.41477e-05,0,0,0.643711,-0.0552402,-0.00117764,0.000213839,1.37368e-05,2.38881e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.820014,0.419413,0.00554275,0.00078173,0.000114845,-4.78426e-06,0,0,2.06243,0.0131516,0.00430595,0.00268199,-0.00012423,-2.41477e-05,0,0,0.587521,-0.0568978,-0.000451315,0.000271175,1.49312e-05,2.38883e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.394166,0.433279,0.00852916,0.00119327,9.09228e-05,-4.78421e-06,0,0,2.08243,0.0291918,0.0113651,0.0019436,-0.000244969,-2.41477e-05,0,0,0.530458,-0.056926,0.000454188,0.000333289,1.61256e-05,2.3888e-07,0,0,0,0,0,0,0,0,0,0,
1,0.0489213,0.454257,0.0126067,0.00150912,6.70012e-05,-7.10539e-05,0,0,2.12466,0.0566522,0.0154846,0.000722244,-0.000365707,5.42268e-06,0,0,0.474336,-0.054952,0.0015532,0.000400181,1.732e-05,2.3888e-07,0,0,0,0,0,0,0,0,0,0,
1,0.51729,0.48391,0.0168255,0.00106658,-0.000288268,-7.10539e-05,0,0,2.19716,0.0883523,0.0155113,-0.000686358,-0.000338594,5.42269e-06,0,0,0.421355,-0.0505746,0.00286005,0.00047185,1.85144e-05,2.38882e-07,0,0,0,0,0,0,0,0,0,0,
1,1.01873,0.519253,0.0175851,-0.000652402,-0.000932799,6.29644e-05,0,0,2.3,0.115989,0.0114749,-0.00184188,-0.000600741,5.69731e-05,0,0,0.374131,-0.0433637,0.00438907,0.000548296,1.97089e-05,2.38881e-07,0,0,0,0,0,0,0,0,0,0,
1,1.55405,0.549049,0.0106607,-0.00375395,-0.000617977,6.29644e-05,0,0,2.42508,0.131295,0.00291453,-0.00367511,-0.000315876,5.69731e-05,0,0,0.335725,-0.0328607,0.0061546,0.00062952,2.09033e-05,2.38881e-07,0,0,0,0,0,0,0,0,0,0,
1,2.10945,0.556952,-0.00367936,-0.00559622,-0.000303155,6.29644e-05,0,0,2.55535,0.12512,-0.00943632,-0.00436888,-3.10101e-05,5.69731e-05,0,0,0.309669,-0.0185781,0.00817097,0.000715522,2.20977e-05,2.38881e-07,0,0,0,0,0,0,0,0,0,0,
1,2.65689,0.531907,-0.0216573,-0.00617919,1.16671e-05,6.29644e-05,0,0,2.66669,0.0933012,-0.0221593,-0.00392319,0.000253855,5.69731e-05,0,0,0.3,2.1618e-11,0.0104525,0.000806302,2.75092e-05,-2.20873e-05,0,0,0,0,0,0,0,0,0,0,
1,3.16103,0.470416,-0.0394952,-0.00550288,0.000326489,6.29642e-05,0,0,2.73422,0.0385134,-0.031836,-0.00233804,0.000538721,5.69731e-05,0,0,0.311264,0.0233235,0.0128156,0.000695465,-8.29274e-05,-2.20873e-05,0,0,0,0,0,0,0,0,0,0,
1,3.58684,0.376538,-0.0534153,-0.00356728,0.000641311,6.29644e-05,0,0,2.73916,-0.029733,-0.035048,0.000386577,0.000823586,5.69731e-05,0,0,0.347994,0.050599,0.0141836,0.000142883,-0.000193364,-2.20873e-05,0,0,0,0,0,0,0,0,0,0,
1,3.9071,0.261885,-0.0596396,-0.000372394,0.000956133,-5.8316e-05,0,0,2.67564,-0.0950901,-0.0283771,0.00425065,0.00110845,-0.000308444,0,0,0.412704,0.0785109,0.0132312,-0.000851446,-0.000303801,2.4192e-05,0,0,0,0,0,0,0,0,0,0,
1,4.10987,0.145022,-0.0556032,0.00286898,0.000664553,-5.8316e-05,0,0,2.55723,-0.136201,-0.0120588,0.00560002,-0.000433769,6.41008e-06,0,0,0.503315,0.101325,0.00909593,-0.00182473,-0.000182841,2.4192e-05,0,0,0,0,0,0,0,0,0,0,
1,4.20276,0.044789,-0.0435921,0.00494403,0.000372973,-5.8316e-05,0,0,2.41414,-0.145221,0.0022027,0.00392904,-0.000401719,6.41008e-06,0,0,0.611752,0.113432,0.00276662,-0.00231417,-6.18807e-05,2.4192e-05,0,0,0,0,0,0,0,0,0,0,
1,4.20922,-0.0263627,-0.0271053,0.00585276,8.13927e-05,-5.8316e-05,0,0,2.27466,-0.130604,0.0116436,0.00238627,-0.000369668,6.41008e-06,0,0,0.725599,0.111896,-0.00430526,-0.00231977,5.90792e-05,2.4192e-05,0,0,0,0,0,0,0,0,0,0,
1,4.16163,-0.0629811,-0.00964184,0.00559517,-0.000210187,-5.8316e-05,0,0,2.15772,-0.101604,0.0166485,0.000971696,-0.000337618,6.41008e-06,0,0,0.830953,0.0966835,-0.0106682,-0.00184154,0.000180039,2.4192e-05,0,0,0,0,0,0,0,0,0,0,
1,4.09433,-0.0666116,0.00529939,0.00417126,-0.000501767,-5.8316e-05,0,0,2.0734,-0.0667106,0.017602,-0.000314675,-0.000305568,6.41008e-06,0,0,0.915331,0.0706636,-0.0148706,-0.000879461,0.000300999,2.4192e-05,0,0,0,0,0,0,0,0,0,0,
1,4.03663,-0.0457977,0.0142194,0.00158103,-0.000793347,-5.8316e-05,0,0,2.02368,-0.0336408,0.0148887,-0.00147284,-0.000273517,6.41008e-06,0,0,0.970569,0.0396089,-0.0154611,0.000566455,0.000421959,2.4192e-05,0,0,0,0,0,0,0,0,0,0,
1,4.00578,-0.0160807,0.0136193,-0.00217552,-0.00108493,-5.8316e-05,0,0,2.00319,-0.00934402,0.00889314,-0.00250281,-0.000241467,6.41008e-06,0,0,0.99573,0.0121949,-0.0109881,0.00249621,0.000542919,2.4192e-05,0,0,0,0,0,0,0,0,0,0,
