duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,4,0,0,0.0004768,-4.76348e-05,7.95441e-07,0,0,-4,0,0,0.00561602,-0.000374784,6.9843e-06,0,0,1,0,0,-0.000208196,1.44582e-05,-2.57094e-07,0,0,0,0,0,0,0,0,0,0,
1,4.00043,0.00124384,0.00115255,0.000294216,-4.36576e-05,7.95442e-07,0,0,-3.99475,0.0153839,0.0146692,0.00418673,-0.000339861,6.98365e-06,0,0,0.999806,-0.000568041,-0.00054041,-0.000152934,1.31732e-05,-2.57119e-07,0,0,0,0,0,0,0,0,0,0,
1,4.00308,0.00426093,0.0017812,0.000127539,-3.96804e-05,7.95401e-07,0,0,-3.96084,0.0559579,0.0252601,0.00289712,-0.000304941,6.9841e-06,0,0,0.998558,-0.00205626,-0.000922746,-0.000102813,1.18876e-05,-2.56987e-07,0,0,0,0,0,0,0,0,0,0,
1,4.00921,0.0080512,0.00193369,-2.32279e-05,-3.57037e-05,7.95831e-07,0,0,-3.87703,0.113985,0.0321916,0.0017472,-0.00027002,6.98449e-06,0,0,0.995487,-0.00416392,-0.00116243,-5.78322e-05,1.06026e-05,-2.57028e-07,0,0,0,0,0,0,0,0,0,0,
1,4.01914,0.0117101,0.00165774,-0.000158086,-3.1726e-05,7.95356e-07,0,0,-3.72937,0.182564,0.0358829,0.00073696,-0.000235098,6.98416e-06,0,0,0.990114,-0.00662115,-0.00127488,-1.79923e-05,9.31742e-06,-2.57039e-07,0,0,0,0,0,0,0,0,0,0,
1,4.03231,0.0144284,0.00100108,-0.000277036,-2.77488e-05,7.95438e-07,0,0,-3.51041,0.255635,0.0367531,-0.000133592,-0.000200177,6.9843e-06,0,0,0.982209,-0.0091889,-0.00127552,1.67071e-05,8.03224e-06,-2.57026e-07,0,0,0,0,0,0,0,0,0,0,
1,4.04744,0.0154924,1.14339e-05,-0.000380077,-2.37718e-05,7.95486e-07,0,0,-3.21835,0.327975,0.0352211,-0.000864457,-0.000165256,6.98431e-06,0,0,0.971769,-0.011659,-0.00117978,4.62657e-05,6.74727e-06,-2.57104e-07,0,0,0,0,0,0,0,0,0,0,
1,4.06254,0.0142839,-0.00126347,-0.000467209,-1.97944e-05,7.95457e-07,0,0,-2.85618,0.395198,0.031706,-0.00145564,-0.000130334,6.98444e-06,0,0,0.958983,-0.013854,-0.00100307,7.0684e-05,5.46176e-06,-2.56978e-07,0,0,0,0,0,0,0,0,0,0,
1,4.07507,0.0102802,-0.00277591,-0.000538433,-1.58171e-05,7.95407e-07,0,0,-2.43085,0.453756,0.0266269,-0.00190713,-9.54125e-05,6.98431e-06,0,0,0.944201,-0.0156276,-0.000760815,8.99614e-05,4.17668e-06,-2.57006e-07,0,0,0,0,0,0,0,0,0,0,
1,4.08203,0.00305374,-0.00447816,-0.000593747,-1.184e-05,7.95431e-07,0,0,-1.95246,0.500942,0.0204029,-0.00221894,-6.04913e-05,6.98437e-06,0,0,0.927907,-0.0168639,-0.000468441,0.000104098,2.89182e-06,-2.57104e-07,0,0,0,0,0,0,0,0,0,0,
1,4.08,-0.00772721,-0.00632249,-0.000633153,-7.8628e-06,7.95432e-07,0,0,-1.43339,0.534884,0.013453,-0.00239106,-2.55696e-05,6.98431e-06,0,0,0.910681,-0.0174782,-0.000141368,0.000113094,1.60654e-06,-2.57065e-07,0,0,0,0,0,0,0,0,0,0,
1,4.06531,-0.0222991,-0.00826117,-0.00065665,-3.88562e-06,7.95437e-07,0,0,-0.887464,0.554549,0.00619624,-0.00242349,9.3519e-06,6.98429e-06,0,0,0.893176,-0.0174165,0.000204983,0.00011695,3.21012e-07,-2.56941e-07,0,0,0,0,0,0,0,0,0,0,
1,4.03409,-0.040803,-0.0102465,-0.000664238,9.15749e-08,7.95462e-07,0,0,-0.329126,0.559744,-0.000948287,-0.00231624,4.42738e-05,6.98397e-06,0,0,0.876082,-0.0166557,0.000555189,0.000115665,-9.64016e-07,-2.56975e-07,0,0,0,0,0,0,0,0,0,0,
1,3.98237,-0.0632843,-0.0122307,-0.000655917,4.06877e-06,7.95456e-07,0,0,0.227405,0.55111,-0.00756153,-0.00206931,7.91948e-05,3.03508e-06,0,0,0.860096,-0.0152035,0.000893829,0.000109239,-2.24903e-06,-2.57069e-07,0,0,0,0,0,0,0,0,0,0,
1,3.90621,-0.0896932,-0.0141661,-0.000631687,8.04582e-06,7.95489e-07,0,0,0.768967,0.530111,-0.0132639,-0.00172218,9.43702e-05,3.03508e-06,0,0,0.845893,-0.0130984,0.00120548,9.76723e-05,-3.53425e-06,-2.57006e-07,0,0,0,0,0,0,0,0,0,0,
1,3.80173,-0.119884,-0.0160049,-0.000591549,1.2023e-05,7.95509e-07,0,0,1.28419,0.49881,-0.0178339,-0.00131435,0.000109546,3.03508e-06,0,0,0.834094,-0.0104098,0.00147472,8.09652e-05,-4.81934e-06,-2.57037e-07,0,0,0,0,0,0,0,0,0,0,
1,3.66526,-0.153617,-0.0176995,-0.000535502,1.60005e-05,7.95408e-07,0,0,1.76396,0.459652,-0.0210893,-0.000845812,0.000124721,3.03508e-06,0,0,0.825235,-0.00723803,0.00168613,5.91174e-05,-6.10441e-06,-2.57086e-07,0,0,0,0,0,0,0,0,0,0,
1,3.49342,-0.190554,-0.019202,-0.000463546,1.99775e-05,7.95449e-07,0,0,2.20181,0.41545,-0.0228481,-0.000326165,0.00015907,-6.55197e-06,0,0,0.819735,-0.00371412,0.00182429,3.2129e-05,-7.38963e-06,-2.5704e-07,0,0,0,0,0,0,0,0,0,0,
1,3.28322,-0.230265,-0.0204648,-0.000375682,2.39548e-05,7.95437e-07,0,0,2.59424,0.369379,-0.0229377,0.000244597,0.000126311,-6.55199e-06,0,0,0.81787,-2.36033e-09,0.00187376,1.47907e-10,-8.67493e-06,2.57053e-07,0,0,0,0,0,0,0,0,0,0,
1,3.03214,-0.272222,-0.0214402,-0.000271908,2.7932e-05,7.95443e-07,0,0,2.94104,0.32471,-0.0215115,0.000684319,9.35506e-05,-6.55199e-06,0,0,0.819735,0.00371411,0.00182429,-3.2129e-05,-7.38964e-06,2.57019e-07,0,0,0,0,0,0,0,0,0,0,
1,2.73824,-0.315802,-0.0220804,-0.000152226,3.19092e-05,7.95434e-07,0,0,3.24501,0.284081,-0.0189628,0.000993002,6.07906e-05,-6.55199e-06,0,0,0.825235,0.00723802,0.00168613,-5.91173e-05,-6.10467e-06,2.57084e-07,0,0,0,0,0,0,0,0,0,0,
1,2.40024,-0.360288,-0.0223376,-1.66344e-05,3.58863e-05,3.27491e-06,0,0,3.51118,0.249345,-0.0156846,0.00117064,2.80307e-05,-9.03143e-06,0,0,0.834094,0.0104098,0.00147472,-8.09653e-05,-4.81921e-06,2.56961e-07,0,0,0,0,0,0,0,0,0,0,
1,2.01763,-0.404853,-0.0221395,0.00015966,5.22608e-05,3.27488e-06,0,0,3.74603,0.221555,-0.0120947,0.00119245,-1.71265e-05,-9.03142e-06,0,0,0.845893,0.0130984,0.00120548,-9.76724e-05,-3.53403e-06,2.56974e-07,0,0,0,0,0,0,0,0,0,0,
1,1.59086,-0.448428,-0.0213142,0.000401452,6.86352e-05,3.27489e-06,0,0,3.95666,0.200829,-0.00871046,0.00103363,-6.22836e-05,-9.03144e-06,0,0,0.860096,0.0152035,0.00089383,-0.000109239,-2.24907e-06,2.57057e-07,0,0,0,0,0,0,0,0,0,0,
1,1.12159,-0.489561,-0.0196653,0.000708742,8.50096e-05,3.27489e-06,0,0,4.14974,0.186215,-0.00607358,0.000694184,-0.000107441,-9.03146e-06,0,0,0.876082,0.0166557,0.00055519,-0.000115664,-9.64042e-07,2.57101e-07,0,0,0,0,0,0,0,0,0,0,
1,0.613158,-0.526409,-0.0169962,0.00108153,0.000101384,3.27491e-06,0,0,4.33046,0.175675,-0.00472599,0.000174107,-0.000152598,-9.03142e-06,0,0,0.893176,0.0174165,0.000204983,-0.00011695,3.21082e-07,2.57129e-07,0,0,0,0,0,0,0,0,0,0,
1,0.0709396,-0.556735,-0.0131106,0.00151981,0.000117758,3.27491e-06,0,0,4.50142,0.16609,-0.00520957,-0.0005266,-0.000197755,-9.03144e-06,0,0,0.910681,0.0174782,-0.000141367,-0.000113094,1.60649e-06,2.57026e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.497265,-0.577909,-0.00781185,0.0020236,0.000134133,3.27488e-06,0,0,4.66156,0.153255,-0.00806621,-0.00140793,-0.000242912,-9.03143e-06,0,0,0.927907,0.0168639,-0.000468441,-0.000104098,2.89142e-06,2.57108e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.08082,-0.586909,-0.000903517,0.00259288,0.000150507,3.27473e-06,0,0,4.80509,0.131882,-0.0138378,-0.0024699,-0.000288069,-9.03143e-06,0,0,0.944201,0.0156276,-0.000760815,-8.99614e-05,4.17686e-06,2.57008e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.66589,-0.580319,0.0078109,0.00322765,0.000166881,3.27508e-06,0,0,4.92037,0.0955993,-0.0230662,-0.00371249,-0.000333227,-9.03143e-06,0,0,0.958983,0.013854,-0.00100307,-7.06838e-05,5.46181e-06,2.57081e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.235,-0.55433,0.0185279,0.00392793,0.000183256,3.27476e-06,0,0,4.98885,0.0369513,-0.0362934,-0.00477967,-0.00109046,0.000347005,0,0,0.971769,0.011659,-0.00117978,-4.62658e-05,6.74708e-06,2.57029e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.76669,-0.504741,0.031444,0.0046937,0.00019963,3.27493e-06,0,0,4.98398,-0.0526013,-0.0537051,-0.00567145,0.000644569,0.000347005,0,0,0.982209,0.0091889,-0.00127552,-1.67071e-05,8.03225e-06,2.57033e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.23509,-0.426957,0.0467556,0.00552497,0.000216005,-0.00020905,0,0,4.873,-0.172712,-0.063382,0.000376879,0.0023796,0.000347005,0,0,0.990114,0.00662115,-0.00127488,1.79922e-05,9.31746e-06,2.57011e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.60976,-0.317052,0.0625361,0.0042985,-0.000829243,-0.00020905,0,0,4.64001,-0.287092,-0.0445037,0.0133653,0.00411462,0.000347005,0,0,0.995487,0.00416392,-0.00116243,5.78323e-05,1.06025e-05,2.57056e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.86102,-0.183447,0.0683656,-0.00110897,-0.00187449,-0.00020905,0,0,4.32624,-0.31781,0.02375,0.0332938,0.00584965,-0.00454881,0,0,0.998558,0.00205626,-0.000922746,0.000102813,1.18877e-05,2.57035e-07,0,0,0,0,0,0,0,0,0,0,
