duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,4,0,0,-0.00325594,0.000179566,8.74974e-07,0,0,-2,0,0,0.0157204,-0.00196131,6.87062e-05,0,0,1,0,0,0.000396401,-2.13195e-05,2.61618e-07,0,0,0,0,0,0,0,0,0,0,
1,3.99692,-0.00904517,-0.00868166,-0.00252893,0.000183942,8.74675e-07,0,0,-1.98617,0.0396595,0.0360804,0.00856222,-0.00161777,6.87055e-05,0,0,1.00038,0.00110523,0.0010639,0.000313738,-2.00108e-05,2.61303e-07,0,0,0,0,0,0,0,0,0,0,
1,3.97685,-0.0332551,-0.015156,-0.00178441,0.000188315,8.75469e-07,0,0,-1.90342,0.131379,0.0527475,0.00277818,-0.00127425,6.87051e-05,0,0,1.00284,0.00409552,0.00188767,0.000236308,-1.87038e-05,2.61475e-07,0,0,0,0,0,0,0,0,0,0,
1,3.92685,-0.0681628,-0.0193707,-0.0010224,0.000192689,8.7608e-07,0,0,-1.71772,0.240455,0.0541236,-0.00163173,-0.00093072,6.87071e-05,0,0,1.00904,0.00850627,0.00248698,0.000164108,-1.73962e-05,2.61513e-07,0,0,0,0,0,0,0,0,0,0,
1,3.83848,-0.109196,-0.021273,-0.000242895,0.000197071,8.73632e-07,0,0,-1.42563,0.340428,0.0443311,-0.00466755,-0.000587184,6.87057e-05,0,0,1.02018,0.0139043,0.00287754,9.7138e-05,-1.60885e-05,2.61509e-07,0,0,0,0,0,0,0,0,0,0,
1,3.70797,-0.151678,-0.0208105,0.000554123,0.000201445,8.73552e-07,0,0,-1.04606,0.413082,0.0274924,-0.00632923,-0.000243659,6.87066e-05,0,0,1.03704,0.0198877,0.00307504,3.53992e-05,-1.4781e-05,2.61502e-07,0,0,0,0,0,0,0,0,0,0,
1,3.53624,-0.190827,-0.0179307,0.00136864,0.000205817,8.74783e-07,0,0,-0.611991,0.448449,0.00772987,-0.0066168,9.98732e-05,6.87059e-05,0,0,1.06003,0.0260862,0.00309517,-2.11099e-05,-1.34727e-05,2.61426e-07,0,0,0,0,0,0,0,0,0,0,
1,3.32906,-0.221754,-0.0125811,0.00220066,0.000210192,8.75103e-07,0,0,-0.162261,0.444801,-0.0108342,-0.00553024,0.000443401,9.06879e-05,0,0,1.08917,0.0321606,0.00295362,-7.23863e-05,-1.21657e-05,2.61591e-07,0,0,0,0,0,0,0,0,0,0,
1,3.09713,-0.23947,-0.00470925,0.00305018,0.000214567,-0.000165883,0,0,0.26671,0.408769,-0.0238577,-0.00284976,0.000896839,9.06873e-05,0,0,1.1242,0.0378034,0.00266608,-0.000118434,-1.08578e-05,2.61481e-07,0,0,0,0,0,0,0,0,0,0,
1,2.85605,-0.239709,0.00406985,0.00224962,-0.000614848,3.17143e-05,0,0,0.649759,0.356545,-0.026119,0.00164447,0.00135028,-0.00036521,0,0,1.16454,0.0427381,0.00224825,-0.00015925,-9.54989e-06,2.61437e-07,0,0,0,0,0,0,0,0,0,0,
1,2.62208,-0.227121,0.00744677,0.000107373,-0.000456277,3.17144e-05,0,0,0.982814,0.312815,-0.0167361,0.00339348,-0.000475767,1.96e-05,0,0,1.20936,0.0467199,0.00171581,-0.000194835,-8.24212e-06,2.61373e-07,0,0,0,0,0,0,0,0,0,0,
1,2.40209,-0.213572,0.00534837,-0.00140059,-0.000297709,3.17146e-05,0,0,1.28183,0.287719,-0.00921423,0.00168641,-0.000377765,1.95994e-05,0,0,1.25759,0.0495354,0.00108447,-0.00022519,-6.93394e-06,2.61302e-07,0,0,0,0,0,0,0,0,0,0,
1,2.1922,-0.208109,-0.000322502,-0.00227428,-0.000139137,3.17145e-05,0,0,1.56166,0.272936,-0.00622559,0.000371348,-0.000279765,1.96003e-05,0,0,1.30798,0.0510023,0.000369906,-0.000250313,-5.62709e-06,2.61527e-07,0,0,0,0,0,0,0,0,0,0,
1,1.98139,-0.215975,-0.00766302,-0.00251369,1.94312e-05,3.17144e-05,0,0,1.82849,0.260578,-0.00659414,-0.000551675,-0.00018179,1.96056e-05,0,0,1.3591,0.05097,-0.000412181,-0.000270206,-4.31937e-06,2.61517e-07,0,0,0,0,0,0,0,0,0,0,
1,1.75529,-0.238606,-0.0147703,-0.00211882,0.000178004,3.17136e-05,0,0,2.08176,0.245106,-0.00914386,-0.00108278,-8.37133e-05,1.95795e-05,0,0,1.40938,0.0493191,-0.0012461,-0.000284868,-3.01214e-06,2.61672e-07,0,0,0,0,0,0,0,0,0,0,
1,1.5,-0.273632,-0.0197416,-0.00108966,0.000336571,-2.73721e-05,0,0,2.31657,0.223333,-0.0126986,-0.0012218,1.42414e-05,1.78376e-05,0,0,1.45717,0.0459615,-0.00211616,-0.0002943,-1.70411e-06,1.14268e-06,0,0,0,0,0,0,0,0,0,0,
1,1.20585,-0.315175,-0.0212649,-1.71011e-05,0.00019971,-7.47481e-06,0,0,2.52601,0.194416,-0.0161002,-0.00098645,0.000103431,-2.05963e-06,0,0,1.50072,0.0408452,-0.00299786,-0.000289689,4.00905e-06,1.14273e-06,0,0,0,0,0,0,0,0,0,0,
1,0.869581,-0.356995,-0.0201927,0.000706991,0.000162338,-7.47513e-06,0,0,2.70345,0.15966,-0.0184596,-0.000593324,9.31303e-05,-2.05913e-06,0,0,1.53828,0.0340021,-0.00383145,-0.000262225,9.72285e-06,3.65686e-07,0,0,0,0,0,0,0,0,0,0,
1,0.493255,-0.394647,-0.0171725,0.00128159,0.000124965,-7.47472e-06,0,0,2.84414,0.121323,-0.0197013,-0.000241395,8.28316e-05,-2.05938e-06,0,0,1.5682,0.0255933,-0.00455613,-0.000219677,1.15513e-05,3.65683e-07,0,0,0,0,0,0,0,0,0,0,
1,0.0828343,-0.424685,-0.0126527,0.0017067,8.75909e-05,-7.47452e-06,0,0,2.9456,0.0815171,-0.0199491,6.93345e-05,7.25319e-05,-2.05976e-06,0,0,1.58903,0.01587,-0.0051422,-0.000169814,1.33791e-05,3.65837e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.352717,-0.444557,-0.00708174,0.00198232,5.02174e-05,-7.47424e-06,0,0,3.00731,0.0421067,-0.0193265,0.000338862,6.22376e-05,-2.06157e-06,0,0,1.5996,0.00513154,-0.00556771,-0.000112639,1.52074e-05,3.65804e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.80233,-0.45261,-0.00090822,0.00210845,1.28465e-05,-7.47494e-06,0,0,3.03049,0.00470881,-0.0179571,0.000567202,5.19292e-05,-2.05778e-06,0,0,1.59907,-0.00627913,-0.00581072,-4.81499e-05,1.70361e-05,3.65729e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.25374,-0.448087,0.00541945,0.00208508,-2.45285e-05,-7.47428e-06,0,0,3.01786,-0.0293064,-0.0159645,0.000754338,4.16303e-05,-2.0592e-06,0,0,1.58695,-0.017975,-0.0058493,2.36536e-05,1.88646e-05,3.65715e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.69435,-0.431129,0.0114528,0.00191222,-6.19002e-05,-7.47485e-06,0,0,2.97338,-0.0588162,-0.0134723,0.000900269,3.13374e-05,-2.06128e-06,0,0,1.56317,-0.0295254,-0.00566149,0.000102768,2.06937e-05,3.65783e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.11218,-0.402771,0.0167433,0.00158988,-9.9275e-05,-7.47402e-06,0,0,2.90202,-0.082945,-0.0106041,0.00100501,2.10382e-05,-2.06116e-06,0,0,1.5281,-0.0404555,-0.00522536,0.0001892,2.25221e-05,3.65538e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.49673,-0.36495,0.0208426,0.00111804,-0.000136646,3.11558e-06,0,0,2.8095,-0.101064,-0.00748347,0.00106855,1.07349e-05,-2.06024e-06,0,0,1.48263,-0.0502467,-0.00451898,0.000282943,2.43508e-05,3.65539e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.83985,-0.320441,0.0234079,0.000602607,-0.000121069,3.11553e-06,0,0,2.70203,-0.112793,-0.00423401,0.0010909,4.28658e-07,-2.05647e-06,0,0,1.42818,-0.0583366,-0.00352038,0.000384002,2.61784e-05,3.656e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.1364,-0.272286,0.0245205,0.000149489,-0.000105493,3.11643e-06,0,0,2.58609,-0.117997,-0.000979284,0.00107201,-9.84549e-06,-2.06443e-06,0,0,1.36673,-0.0641188,-0.00220765,0.000492371,2.80085e-05,3.65158e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.38412,-0.223203,0.0243672,-0.000241323,-8.99135e-05,3.11543e-06,0,0,2.46817,-0.116789,0.00215706,0.00101198,-2.01631e-05,-2.05987e-06,0,0,1.30092,-0.0669431,-0.000558836,0.000608061,2.98314e-05,-4.9776e-06,0,0,0,0,0,0,0,0,0,0,
1,-3.58328,-0.175537,0.0231349,-0.000569822,-7.43365e-05,3.11569e-06,0,0,2.35453,-0.10953,0.00505142,0.000910731,-3.04624e-05,-4.43756e-06,0,0,1.23405,-0.0661422,0.00139456,0.00067761,4.94226e-06,-4.9791e-06,0,0,0,0,0,0,0,0,0,0,
1,-3.73633,-0.131259,0.0210106,-0.000836011,-5.87583e-05,3.11531e-06,0,0,2.25093,-0.096839,0.00755647,0.000744505,-5.26503e-05,-4.43753e-06,0,0,1.16998,-0.0613253,0.00340725,0.000647588,-1.99521e-05,-4.97883e-06,0,0,0,0,0,0,0,0,0,0,
1,-3.84747,-0.0919649,0.0181811,-0.00103989,-4.31813e-05,3.11557e-06,0,0,2.16233,-0.0797254,0.0094297,0.000489529,-7.48382e-05,-4.43745e-06,0,0,1.11269,-0.0526728,0.00518052,0.000517991,-4.48462e-05,-4.97878e-06,0,0,0,0,0,0,0,0,0,0,
1,-3.92233,-0.0588795,0.0148335,-0.00118146,-2.76038e-05,3.1157e-06,0,0,2.09245,-0.0597189,0.0104049,0.000145801,-9.70256e-05,-4.4376e-06,0,0,1.06567,-0.040962,0.00641562,0.000288819,-6.97401e-05,-4.97873e-06,0,0,0,0,0,0,0,0,0,0,
1,-3.96758,-0.0328516,0.0111547,-0.00126072,-1.20259e-05,3.11551e-06,0,0,2.04318,-0.038882,0.0102158,-0.000286677,-0.000119214,-4.43757e-06,0,0,1.03133,-0.0275682,0.00681385,-3.99288e-05,-9.4634e-05,-4.97872e-06,0,0,0,0,0,0,0,0,0,0,
1,-3.99055,-0.014357,0.00733152,-0.00127767,3.55165e-06,3.11551e-06,0,0,2.0141,-0.0198096,0.00859607,-0.000807907,-0.000141401,-4.43751e-06,0,0,1.01044,-0.0144637,0.00607648,-0.000468252,-0.000119528,-4.97866e-06,0,0,0,0,0,0,0,0,0,0,
1,-3.99884,-0.00349715,0.00355099,-0.0012323,1.91288e-05,3.11561e-06,0,0,2.00194,-0.00562894,0.00527957,-0.00141789,-0.000163589,-4.43755e-06,0,0,1.00146,-0.0042185,0.00390477,-0.00099615,-0.000144422,-4.9787e-06,0,0,0,0,0,0,0,0,0,0,
