duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,4,0,0,-0.00506873,0.000304624,4.41941e-06,0,0,-1.5,0,0,0.0155346,-0.00216475,8.96604e-05,0,0,1,0,0,-0.000459812,2.73698e-05,-4.08377e-07,0,0,0,0,0,0,0,0,0,0,
1,3.99524,-0.0139656,-0.0133342,-0.00380603,0.000326731,4.41856e-06,0,0,-1.48654,0.0383932,0.034512,0.00777224,-0.00171645,8.96607e-05,0,0,0.999567,-0.001272,-0.0012193,-0.000354418,2.53286e-05,-4.08535e-07,0,0,0,0,0,0,0,0,0,0,
1,3.96447,-0.0507232,-0.0227478,-0.00245492,0.000348824,4.42247e-06,0,0,-1.40749,0.124316,0.0484266,0.00180306,-0.00126814,8.96606e-05,0,0,0.996746,-0.00467459,-0.00213467,-0.000257189,2.32856e-05,-4.08244e-07,0,0,0,0,0,0,0,0,0,0,
1,3.88889,-0.102166,-0.0279754,-0.00101538,0.000370925,4.4243e-06,0,0,-1.23412,0.221955,0.0471236,-0.0023729,-0.000819857,8.96659e-05,0,0,0.989703,-0.00962439,-0.00277061,-0.000168129,2.12441e-05,-4.08344e-07,0,0,0,0,0,0,0,0,0,0,
1,3.75811,-0.159657,-0.0287517,0.000512561,0.000393033,4.42259e-06,0,0,-0.968147,0.306252,0.0359824,-0.00475568,-0.000371534,8.96563e-05,0,0,0.97716,-0.0155871,-0.00315161,-8.72359e-05,1.92024e-05,-4.0843e-07,0,0,0,0,0,0,0,0,0,0,
1,3.57061,-0.214029,-0.0248116,0.00212892,0.000415142,4.42093e-06,0,0,-0.63095,0.362912,0.0203827,-0.00534523,7.6759e-05,8.96591e-05,0,0,0.958353,-0.0220772,-0.00330219,-1.45101e-05,1.71601e-05,-4.08228e-07,0,0,0,0,0,0,0,0,0,0,
1,3.33432,-0.255582,-0.0158898,0.0038337,0.000437247,4.42115e-06,0,0,-0.252835,0.388397,0.00570415,-0.00414159,0.00052506,8.96619e-05,0,0,0.932976,-0.0286585,-0.00324684,5.00478e-05,1.51183e-05,-4.08259e-07,0,0,0,0,0,0,0,0,0,0,
1,3.06712,-0.27409,-0.00172102,0.0056269,0.000459356,-0.000266855,0,0,0.137739,0.389929,-0.00267371,-0.001145,0.000973469,-0.000203595,0,0,0.901136,-0.0349436,-0.00301007,0.000106438,1.3077e-05,-4.08529e-07,0,0,0,0,0,0,0,0,0,0,
1,2.79713,-0.260148,0.0152473,0.00479575,-0.000874885,-0.000100101,0,0,0.524619,0.384022,-0.00230389,0.00071277,-4.46176e-05,-0.000203591,0,0,0.863301,-0.0405942,-0.00261638,0.000154661,1.10348e-05,-4.08454e-07,0,0,0,0,0,0,0,0,0,0,
1,2.55605,-0.219266,0.0233842,0.000295187,-0.00137538,0.000158206,0,0,0.906803,0.380357,-0.0024692,-0.0015016,-0.000616671,0.000242654,0,0,0.820256,-0.0453209,-0.00209027,0.000194716,8.99297e-06,-4.08347e-07,0,0,0,0,0,0,0,0,0,0,
