duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,-3,0,0,0.01028,-0.000848725,1.88168e-05,0,0,-4,0,0,-0.00142814,0.000196207,-5.32296e-06,0,0,1,0,0,0.00212638,-0.000166265,3.46728e-06,0,0,0,0,0,0,0,0,0,0,
1,-2.99055,0.0275392,0.0259358,0.00707326,-0.000754642,1.88154e-05,0,0,-4.00124,-0.0035262,-0.0031604,-0.000696544,0.000169596,-5.32279e-06,0,0,1.00196,0.00573142,0.00541623,0.00149599,-0.000148929,3.46734e-06,0,0,0,0,0,0,0,0,0,0,
1,-2.93074,0.0977061,0.0428159,0.00424285,-0.000660564,1.88174e-05,0,0,-4.00846,-0.0112849,-0.00428569,-7.13901e-05,0.000142983,-5.3228e-06,0,0,1.01446,0.0204735,0.00904531,0.000934953,-0.000131592,3.4671e-06,0,0,0,0,0,0,0,0,0,0,
1,-2.78661,0.193518,0.0517692,0.00178876,-0.000566476,1.88143e-05,0,0,-4.02396,-0.0195251,-0.00369519,0.000447315,0.00011637,-5.32234e-06,0,0,1.04479,0.0408599,0.0110953,0.000443257,-0.000114256,3.46739e-06,0,0,0,0,0,0,0,0,0,0,
1,-2.54009,0.300251,0.0539248,-0.000288977,-0.000472417,1.88189e-05,0,0,-4.04662,-0.0251347,-0.00170825,0.000859571,8.97569e-05,-5.32111e-06,0,0,1.09708,0.0639406,0.0117742,2.09097e-05,-9.69203e-05,3.46728e-06,0,0,0,0,0,0,0,0,0,0,
1,-2.18665,0.405438,0.0504116,-0.00199047,-0.000378271,1.87906e-05,0,0,-4.07252,-0.0256401,0.00135579,0.00116538,6.31486e-05,-5.3233e-06,0,0,1.17272,0.0871814,0.0112901,-0.0003321,-7.95809e-05,3.46682e-06,0,0,0,0,0,0,0,0,0,0,
1,-1.73315,0.498871,0.0423585,-0.0033156,-0.000284205,1.88011e-05,0,0,-4.09558,-0.0192064,0.00517758,0.00136474,3.65351e-05,-5.32254e-06,0,0,1.27078,0.108464,0.00985097,-0.000615758,-6.22453e-05,3.4672e-06,0,0,0,0,0,0,0,0,0,0,
1,-1.1955,0.572598,0.0308945,-0.00426433,-0.000190183,1.88195e-05,0,0,-4.10822,-0.00463746,0.0094378,0.00145766,9.92431e-06,-5.32322e-06,0,0,1.38842,0.126087,0.00766489,-0.00083007,-4.4909e-05,3.46697e-06,0,0,0,0,0,0,0,0,0,0,
1,-0.596447,0.620928,0.0171487,-0.00483687,-9.60733e-05,1.88185e-05,0,0,-4.10195,0.0186242,0.0138171,0.00144412,-1.66892e-05,-5.32233e-06,0,0,1.5213,0.138765,0.0049399,-0.000975036,-2.75738e-05,3.46732e-06,0,0,0,0,0,0,0,0,0,0,
1,0.0367153,0.640424,0.0022498,-0.00503326,-1.75955e-06,1.87507e-05,0,0,-4.06809,0.0504974,0.0179961,0.00132415,-4.33043e-05,-5.32153e-06,0,0,1.66401,0.145626,0.00188402,-0.00105066,-1.02376e-05,3.46759e-06,0,0,0,0,0,0,0,0,0,0,
1,0.674373,0.629911,-0.012673,-0.00485262,9.19419e-05,1.88548e-05,0,0,-3.99832,0.0902622,0.0216555,0.00109771,-6.99095e-05,-5.32297e-06,0,0,1.81046,0.146219,-0.0012947,-0.00105693,7.09719e-06,3.46777e-06,0,0,0,0,0,0,0,0,0,0,
1,1.28687,0.590469,-0.0264906,-0.00429634,0.000186156,2.25593e-05,0,0,-3.88538,0.13656,0.024476,0.000764845,-9.65249e-05,-1.57698e-06,0,0,1.95434,0.140504,-0.00438824,-0.000993863,2.44337e-05,3.46795e-06,0,0,0,0,0,0,0,0,0,0,
1,1.84676,0.525456,-0.0380371,-0.00332608,0.000298893,2.25919e-05,0,0,-3.72368,0.187413,0.0261756,0.000362976,-0.000104404,2.22919e-06,0,0,2.08949,0.128861,-0.00718855,-0.000861449,4.17723e-05,3.46726e-06,0,0,0,0,0,0,0,0,0,0,
1,2.33117,0.440712,-0.045996,-0.00190458,0.000411777,2.25616e-05,0,0,-3.50983,0.240446,0.0266604,-3.23399e-05,-9.32474e-05,2.23059e-06,0,0,2.21034,0.112084,-0.00948759,-0.000659688,5.91087e-05,3.46716e-06,0,0,0,0,0,0,0,0,0,0,
1,2.72442,0.344767,-0.0490134,-3.18682e-05,0.000524595,-4.76428e-05,0,0,-3.24285,0.293308,0.0260262,-0.000383017,-8.20925e-05,2.23214e-06,0,0,2.31234,0.0913838,-0.0110773,-0.000388583,7.64472e-05,3.46643e-06,0,0,0,0,0,0,0,0,0,0,
1,3.02062,0.248504,-0.0464379,0.00159004,0.00028644,-4.76538e-05,0,0,-2.92397,0.343894,0.0244069,-0.00068906,-7.09358e-05,2.23336e-06,0,0,2.39234,0.0683865,-0.0117497,-4.8128e-05,9.37811e-05,3.46731e-06,0,0,0,0,0,0,0,0,0,0,
1,3.22451,0.161306,-0.0404252,0.00225929,4.8225e-05,-5.33624e-06,0,0,-2.55643,0.390368,0.0219366,-0.000950472,-5.97734e-05,2.23246e-06,0,0,2.44903,0.0451351,-0.0112968,0.000361669,0.000111118,-1.76899e-05,0,0,0,0,0,0,0,0,0,0,
1,3.3477,0.0873998,-0.0334113,0.00239888,2.15282e-05,-5.29767e-06,0,0,-2.14513,0.431162,0.0187488,-0.00116724,-4.86163e-05,2.23239e-06,0,0,2.48332,0.0239826,-0.00972194,0.000629241,2.26682e-05,-1.76899e-05,0,0,0,0,0,0,0,0,0,0,
1,3.4041,0.0278336,-0.0261383,0.00243194,-5.02022e-06,-5.3383e-06,0,0,-1.69644,0.464975,0.0149777,-0.00133938,-3.74543e-05,2.23183e-06,0,0,2.49822,0.00642867,-0.00787511,0.00056688,-0.000113512,6.17544e-06,0,0,0,0,0,0,0,0,0,0,
1,3.40822,-0.0171941,-0.018926,0.00235858,-3.16706e-05,-5.31443e-06,0,0,-1.21786,0.490773,0.0107572,-0.00146687,-2.62941e-05,2.23178e-06,0,0,2.49723,-0.00804408,-0.00679379,0.000174587,-8.26349e-05,6.17544e-06,0,0,0,0,0,0,0,0,0,0,
1,3.37442,-0.0481237,-0.0120935,0.00217872,-5.82859e-05,-5.32177e-06,0,0,-0.717818,0.507793,0.00622112,-0.00154974,-1.51097e-05,2.21252e-06,0,0,2.48249,-0.0214076,-0.00670408,-9.41985e-05,-5.17576e-05,6.17543e-06,0,0,0,0,0,0,0,0,0,0,
