duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,-4,0,0,0.00502232,-0.000308425,5.18765e-06,0,0,0,0,0,0.0129104,-0.00208756,0.000105614,0,0,1,0,0,-3.30864e-11,2.58904e-12,-4.18443e-13,0,0,0,0,0,0,0,0,0,0,
1,-3.99528,0.0138592,0.0132683,0.00384046,-0.000282493,5.18367e-06,0,0,0.0109285,0.0309091,0.027262,0.00561632,-0.00155949,0.000105614,0,0,1,-8.75415e-11,-8.70717e-11,-1.91758e-11,-3.06422e-13,8.47655e-13,0,0,0,0,0,0,0,0,0,0,
1,-3.96459,0.0508131,0.0231465,0.00276233,-0.000256579,5.18572e-06,0,0,0.073262,0.0965722,0.0358102,0.000434498,-0.00103142,0.000105613,0,0,1,-3.1567e-10,-1.39853e-10,-1.11147e-11,1.30562e-13,5.28466e-13,0,0,0,0,0,0,0,0,0,0,
1,-3.88812,0.104393,0.0299459,0.00178787,-0.000230648,5.18444e-06,0,0,0.205153,0.165898,0.0319813,-0.00263505,-0.000503355,0.000105613,0,0,1,-6.25501e-10,-1.68127e-10,-6.33449e-12,1.45661e-12,-2.23488e-13,0,0,0,0,0,0,0,0,0,0,
1,-3.75222,0.168752,0.0339775,0.000917128,-0.000204727,5.18481e-06,0,0,0.4,0.22047,0.0221121,-0.00359234,2.4713e-05,4.15961e-06,0,0,1,-9.75867e-10,-1.78755e-10,-2.57572e-12,3.94351e-12,-4.35763e-13,0,0,0,0,0,0,0,0,0,0,
1,-3.54877,0.238665,0.0355524,0.000150066,-0.000178796,5.18373e-06,0,0,0.639019,0.254037,0.011525,-0.00345189,4.55111e-05,4.15959e-06,0,0,1,-1.32879e-09,-1.65979e-10,4.19753e-12,7.94387e-12,-3.97604e-12,0,0,0,0,0,0,0,0,0,0,
1,-3.27458,0.309531,0.0349817,-0.000513291,-0.000152866,5.18157e-06,0,0,0.901179,0.266935,0.00148398,-0.00322825,6.63089e-05,4.15963e-06,0,0,1,-1.63738e-09,-1.46457e-10,2.25704e-11,-5.8451e-12,1.62037e-12,0,0,0,0,0,0,0,0,0,0,
1,-2.93073,0.377369,0.0325764,-0.00107291,-0.000126979,5.19931e-06,0,0,1.16644,0.260504,-0.00776131,-0.00292142,8.71065e-05,4.1597e-06,0,0,1,-1.87863e-09,-8.69811e-11,1.02318e-11,6.25544e-12,-4.20108e-13,0,0,0,0,0,0,0,0,0,0,
1,-2.52198,0.438821,0.0286478,-0.00152897,-0.000100942,5.16634e-06,0,0,1.41635,0.236586,-0.0159613,-0.00253139,0.000107905,4.15976e-06,0,0,1,-2.00036e-09,-1.91314e-11,2.09273e-11,-5.37348e-12,2.6984e-12,0,0,0,0,0,0,0,0,0,0,
1,-2.05613,0.491152,0.0235068,-0.0018812,-7.51323e-05,5.20889e-06,0,0,1.63456,0.197522,-0.0228665,-0.00205818,0.000128703,4.15967e-06,0,0,1,-1.98627e-09,4.421e-11,2.58211e-11,-6.10267e-12,3.17313e-12,0,0,0,0,0,0,0,0,0,0,
1,-1.54343,0.532247,0.0174644,-0.00212967,-4.91896e-05,5.18795e-06,0,0,1.80729,0.14615,-0.0282272,-0.00150177,0.000149501,4.15992e-06,0,0,1,-1.82884e-09,1.15334e-10,2.49916e-11,-2.64144e-12,1.9228e-12,0,0,0,0,0,0,0,0,0,0,
0.6,-0.995888,0.560616,0.0108343,-0.00228462,-5.04348e-06,-6.95888e-06,0,0,1.92386,0.085809,-0.0317939,-0.000862166,0.000170297,4.16103e-06,0,0,1,-1.52386e-09,1.59115e-10,7.72147e-11,-1.39963e-10,1.18147e-10,0,0,0,0,0,0,0,0,0,0,
0.4,-0.656112,0.57114,0.00670063,-0.00232895,3.08652e-05,-4.48302e-05,0,0,1.96374,0.046875,-0.032969,-0.000438474,0.000182774,4.16374e-06,0,0,1,-1.29488e-09,2.3045e-10,6.0794e-11,3.12355e-10,-4.91141e-10,0,0,0,0,0,0,0,0,0,0,
0.6,-0.426733,0.575386,0.00391167,-0.0023148,-9.28989e-07,8.12079e-06,0,0,1.97719,0.0203367,-0.033317,-0.000139363,0.000191079,4.17044e-06,0,0,1,-1.06356e-09,2.51845e-10,-9.70601e-12,2.56293e-11,-6.78035e-12,0,0,0,0,0,0,0,0,0,0,
0.4,-0.0805929,0.577586,-0.000240027,-0.002212,-0.00013405,0.000129744,0,0,1.97739,-0.0196265,-0.0331461,0.000334207,0.000203694,-6.78321e-06,0,0,1,-7.56799e-10,2.41194e-10,-9.7657e-11,2.2618e-10,-1.68299e-10,0,0,0,0,0,0,0,0,0,0,
