duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,-4,0,0,0.0492523,-0.0161632,0.00172094,0,0,-0.5,0,0,-0.00538472,0.000313334,2.32366e-06,0,0,1,0,0,-0.000476549,4.15175e-05,-9.75498e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.96519,0.0917088,0.067987,0.00180883,-0.00755853,0.00172094,0,0,-0.505069,-0.0148892,-0.0142509,-0.00410815,0.000324953,2.32365e-06,0,0,0.999564,-0.00126845,-0.0011903,-0.000320234,3.664e-05,-9.7548e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.80952,0.21148,0.0452717,-0.0112159,0.00104617,-3.29591e-05,0,0,-0.53799,-0.0544041,-0.0246024,-0.0027851,0.000336571,2.32365e-06,0,0,0.996821,-0.00446807,-0.00194091,-0.000183428,3.17627e-05,-9.75496e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.56297,0.272396,0.0175715,-0.00736082,0.00088137,-3.29591e-05,0,0,-0.619443,-0.110606,-0.0309151,-0.00141558,0.000348189,2.32366e-06,0,0,0.990259,-0.008778,-0.00231038,-6.61327e-05,2.68852e-05,-9.75494e-07,0,0,0,0,0,0,0,0,0,0,
1,-3.27952,0.288817,0.000447617,-0.00416493,0.000716575,-3.29591e-05,0,0,-0.762029,-0.175279,-0.0330494,-1.86162e-05,0.000397862,-1.67039e-05,0,0,0.97913,-0.0134945,-0.00235722,3.16532e-05,2.20078e-05,-9.75492e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.99374,0.279919,-0.00807732,-0.00162822,0.000551779,-3.29591e-05,0,0,-0.969995,-0.239926,-0.0308851,0.00140579,0.000314343,-1.67039e-05,0,0,0.963331,-0.0180308,-0.00213997,0.000109929,1.71303e-05,-9.7549e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.723,0.260922,-0.00998091,0.000249301,0.000386984,-3.29591e-05,0,0,-1.2391,-0.296305,-0.0249487,0.00249613,0.000230823,-1.67039e-05,0,0,0.943287,-0.0219173,-0.00171715,0.000168696,1.22529e-05,-9.75488e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.47146,0.243091,-0.0072407,0.00146765,0.000222188,-3.29591e-05,0,0,-1.55765,-0.337874,-0.0162425,0.00325238,0.000147304,-1.6704e-05,0,0,0.919832,-0.0248014,-0.0011473,0.000207952,7.3754e-06,-9.75483e-07,0,0,0,0,0,0,0,0,0,0,
1,-2.23395,0.233736,-0.00183422,0.00202681,5.73928e-05,-3.29591e-05,0,0,-1.90838,-0.360096,-0.00576854,0.00367456,6.37841e-05,-1.67039e-05,0,0,0.894098,-0.0264475,-0.000488948,0.000227699,2.49799e-06,-9.75492e-07,0,0,0,0,0,0,0,0,0,0,
1,-2,0.236213,0.00426097,0.00192679,-0.000107403,-1.08221e-05,0,0,-2.27052,-0.360438,0.0054708,0.00376265,-1.97355e-05,-1.67039e-05,0,0,0.867391,-0.0267372,0.000199383,0.000227936,-2.37947e-06,-9.75488e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.75772,0.250032,0.00928869,0.00138896,-0.000161513,-1.08221e-05,0,0,-2.62176,-0.338371,0.0164733,0.00351667,-0.000103255,-1.67039e-05,0,0,0.841077,-0.025669,0.000859159,0.000208663,-7.25691e-06,-9.75488e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.49718,0.272076,0.0123783,0.000648341,-0.00018831,7.53864e-06,0,0,-2.94026,-0.295371,0.0262368,0.00295027,-0.000159461,-6.95236e-07,0,0,0.816468,-0.0233586,0.00143185,0.000169881,-1.21344e-05,2.00518e-07,0,0,0,0,0,0,0,0,0,0,
1,-1.21226,0.298062,0.0132688,-2.95122e-05,-0.000150617,7.53865e-06,0,0,-3.20661,-0.234688,0.0341238,0.00230547,-0.000162938,-6.95229e-07,0,0,0.794699,-0.0200328,0.00187069,0.000123349,-1.11317e-05,2.00503e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.901101,0.323946,0.012352,-0.000556593,-0.000112923,7.53863e-06,0,0,-3.40503,-0.160179,0.0400557,0.00164677,-0.000166414,-6.9522e-07,0,0,0.776649,-0.0159649,0.00217596,8.08268e-05,-1.01292e-05,2.00528e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.565465,0.346566,0.01008,-0.0009329,-7.52304e-05,7.53865e-06,0,0,-3.52367,-0.0757962,0.0439906,0.000974163,-0.00016989,-6.95234e-07,0,0,0.762931,-0.01141,0.00235967,4.23153e-05,-9.12664e-06,2.00537e-07,0,0,0,0,0,0,0,0,0,0,
1,-0.209819,0.363664,0.00690534,-0.00115844,-3.7537e-05,7.53859e-06,0,0,-3.55467,0.0144244,0.0458868,0.000287651,-0.000173366,-6.95236e-07,0,0,0.753914,-0.00659924,0.00243386,7.81405e-06,-8.12392e-06,2.00494e-07,0,0,0,0,0,0,0,0,0,0,
1,0.159562,0.373887,0.00328019,-0.0012332,1.56049e-07,7.53862e-06,0,0,-3.49425,0.106364,0.0457026,-0.000412765,-0.000176842,-6.95228e-07,0,0,0.749749,-0.00173958,0.00241056,-2.26766e-05,-7.12145e-06,2.0053e-07,0,0,0,0,0,0,0,0,0,0,
1,0.535504,0.376786,-0.000343076,-0.00115719,3.78493e-05,-2.28606e-07,0,0,-3.34277,0.19582,0.0433963,-0.00112709,-0.000180318,3.18835e-06,0,0,0.75039,0.00298603,0.00230181,-4.91571e-05,-6.11883e-06,2.00523e-07,0,0,0,0,0,0,0,0,0,0,
1,0.910828,0.372779,-0.00358983,-0.00100808,3.67063e-05,-2.28604e-07,0,0,-3.10486,0.278526,0.038965,-0.00181648,-0.000164376,3.18837e-06,0,0,0.755623,0.0074187,0.00211963,-7.16272e-05,-5.11622e-06,2.00515e-07,0,0,0,0,0,0,0,0,0,0,
1,1.27905,0.362721,-0.0063961,-0.000863537,3.55634e-05,-2.28611e-07,0,0,-2.78935,0.350365,0.0325612,-0.0024421,-0.000148435,3.18838e-06,0,0,0.765085,0.0114236,0.00187605,-9.0087e-05,-4.11364e-06,2.00515e-07,0,0,0,0,0,0,0,0,0,0,
1,1.63454,0.347479,-0.00877562,-0.000723569,3.44204e-05,-2.28584e-07,0,0,-2.40901,0.407583,0.0243762,-0.00300395,-0.000132493,3.18837e-06,0,0,0.778291,0.01489,0.00158312,-0.000104536,-3.11106e-06,2.00521e-07,0,0,0,0,0,0,0,0,0,0,
1,1.97256,0.327894,-0.0107421,-0.000588173,3.32775e-05,-2.28586e-07,0,0,-1.98018,0.44681,0.0146012,-0.00348841,-0.000143805,1.68153e-05,0,0,0.794656,0.0177312,0.00125285,-0.000114975,-2.10844e-06,2.00512e-07,0,0,0,0,0,0,0,0,0,0,
