duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1,2.5,0,0,-0.0405705,0.00778487,-0.000420494,0,0,-4,0,0,0.0172442,-0.00389545,0.00024292,0,0,1,0,0,-0.00209337,0.000388036,-1.58031e-05,0,0,0,0,0,0,0,0,0,0,
1,2.46679,-0.0926746,-0.0792074,-0.013636,0.0056824,-0.000420494,0,0,-3.98641,0.0373653,0.030789,0.00409156,-0.00268086,0.00024292,0,0,0.998279,-0.00480699,-0.00410993,-0.00069926,0.00030902,-1.58031e-05,0,0,0,0,0,0,0,0,0,0,
1,2.28654,-0.27137,-0.090226,0.00488862,0.00357992,-0.000420494,0,0,-3.9166,0.101709,0.0294077,-0.00420267,-0.00146626,0.00024292,0,0,0.988956,-0.0139676,-0.00451162,0.000378789,0.000230004,-1.58031e-05,0,0,0,0,0,0,0,0,0,0,
1,1.93299,-0.424939,-0.0582855,0.0150034,0.00147745,-0.000420494,0,0,-3.79091,0.143266,0.0104314,-0.00763849,-0.000251657,0.00024292,0,0,0.97107,-0.0210134,-0.00215326,0.00114078,0.000150989,-1.58031e-05,0,0,0,0,0,0,0,0,0,0,
1,1.46583,-0.492693,-0.00861558,0.0167083,-9.44354e-05,-0.00104726,0,0,-3.64486,0.141421,-0.0115648,-0.00621592,0.000432362,0.000869684,0,0,0.949179,-0.0213727,0.00201697,0.0015867,7.1973e-05,-1.58031e-05,0,0,0,0,0,0,0,0,0,0,
1,0.980083,-0.465413,0.03047,0.00585792,-0.00533073,0.00143438,0,0,-3.51992,0.105722,-0.0189216,0.00421037,0.00478078,-0.00161195,0,0,0.931466,-0.0123698,0.00705087,0.00171656,-7.04275e-06,-1.58031e-05,0,0,0,0,0,0,0,0,0,0,
1,0.547102,-0.40105,0.0304032,-0.00112121,0.00184116,-0.000653258,0,0,-3.42574,0.0915731,0.00627466,0.00721397,-0.00327898,0.000475684,0,0,0.927841,0.00677445,0.0120003,0.00153036,-8.60585e-05,-1.58031e-05,0,0,0,0,0,0,0,0,0,0,
1,0.176521,-0.339509,0.0315539,-0.000289137,-0.00142513,0.000123181,0,0,-3.32348,0.115027,0.0129995,-0.00114511,-0.000900561,0.000156254,0,0,0.948044,0.0349428,0.015917,0.00102809,-0.000165074,-1.58031e-05,0,0,0,0,0,0,0,0,0,0,
1,-0.133025,-0.282353,0.0233676,-0.00475784,-0.000809223,0.000123181,0,0,-3.19734,0.13477,0.00572338,-0.00318482,-0.000119291,0.000156254,0,0,0.999751,0.0691217,0.0178527,0.000209763,-0.00024409,-1.58031e-05,0,0,0,0,0,0,0,0,0,0,
1,-0.397455,-0.252513,0.00547053,-0.00676292,-0.000193318,0.000123181,0,0,-3.06,0.136966,-0.00298427,-0.00209944,0.000661979,-3.32834e-05,0,0,1.08668,0.104401,0.0168595,-0.000924628,-0.000323106,-1.58032e-05,0,0,0,0,0,0,0,0,0,0,
1,-0.65133,-0.262018,-0.0147463,-0.00630438,0.000422586,0.000123181,0,0,-2.92749,0.127181,-0.00564355,0.000215643,0.000495562,-3.32834e-05,0,0,1.20667,0.133975,0.0119889,-0.00237508,-0.000402121,3.04047e-05,0,0,0,0,0,0,0,0,0,0,
